babel-generator,6.26.1,MIT,https://babeljs.io/
babel-helper-builder-binary-assignment-operator-visitor,6.24.1,MIT,Unknown
babel-helper-builder-react-jsx,6.26.0,MIT,Unknown
babel-helper-call-delegate,6.24.1,MIT,Unknown
babel-helper-define-map,6.26.0,MIT,Unknown
babel-helper-explode-assignable-expression,6.24.1,MIT,Unknown
babel-helper-function-name,6.24.1,MIT,Unknown
babel-helper-get-function-arity,6.24.1,MIT,Unknown
babel-helper-hoist-variables,6.24.1,MIT,Unknown
babel-helper-optimise-call-expression,6.24.1,MIT,Unknown
babel-helper-regex,6.26.0,MIT,Unknown
babel-helper-remap-async-to-generator,6.24.1,MIT,Unknown
babel-helper-replace-supers,6.24.1,MIT,Unknown
babel-helpers,6.24.1,MIT,https://babeljs.io/
babel-jest,23.4.2,MIT,Unknown
babel-loader,7.1.5,MIT,https://github.com/babel/babel-loader
babel-messages,6.23.0,MIT,https://babeljs.io/
babel-plugin-check-es2015-constants,6.22.0,MIT,Unknown
babel-plugin-emotion,9.2.11,MIT,https://emotion.sh/
babel-plugin-istanbul,4.1.6,New BSD,https://github.com/istanbuljs/babel-plugin-istanbul#readme
babel-plugin-jest-hoist,23.2.0,MIT,Unknown
babel-plugin-macros,2.4.2,MIT,https://github.com/kentcdodds/babel-plugin-macros#readme
babel-plugin-syntax-async-functions,6.13.0,MIT,Unknown
babel-plugin-syntax-class-properties,6.13.0,MIT,Unknown
babel-plugin-syntax-dynamic-import,6.18.0,MIT,Unknown
babel-plugin-syntax-exponentiation-operator,6.13.0,MIT,Unknown
babel-plugin-syntax-flow,6.18.0,MIT,Unknown
babel-plugin-syntax-jsx,6.18.0,MIT,Unknown
babel-plugin-syntax-object-rest-spread,6.13.0,MIT,Unknown
babel-plugin-syntax-trailing-function-commas,6.22.0,MIT,Unknown
babel-plugin-transform-async-to-generator,6.24.1,MIT,Unknown
babel-plugin-transform-class-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-arrow-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoped-functions,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-block-scoping,6.26.0,MIT,Unknown
babel-plugin-transform-es2015-classes,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-computed-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-destructuring,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-duplicate-keys,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-for-of,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-function-name,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-modules-amd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-commonjs,6.26.2,MIT,Unknown
babel-plugin-transform-es2015-modules-systemjs,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-modules-umd,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-object-super,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-parameters,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-shorthand-properties,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-spread,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-sticky-regex,6.24.1,MIT,Unknown
babel-plugin-transform-es2015-template-literals,6.22.0,MIT,Unknown
babel-plugin-transform-es2015-typeof-symbol,6.23.0,MIT,Unknown
babel-plugin-transform-es2015-unicode-regex,6.24.1,MIT,Unknown
babel-plugin-transform-exponentiation-operator,6.24.1,MIT,Unknown
babel-plugin-transform-flow-strip-types,6.22.0,MIT,Unknown
babel-plugin-transform-object-rest-spread,6.26.0,MIT,Unknown
babel-plugin-transform-react-display-name,6.25.0,MIT,Unknown
babel-plugin-transform-react-jsx,6.24.1,MIT,Unknown
babel-plugin-transform-react-jsx-self,6.22.0,MIT,Unknown
babel-plugin-transform-react-jsx-source,6.22.0,MIT,Unknown
babel-plugin-transform-regenerator,6.26.0,MIT,https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator
babel-plugin-transform-strict-mode,6.24.1,MIT,Unknown
babel-polyfill,6.26.0,MIT,https://babeljs.io/
babel-preset-env,1.7.0,MIT,https://babeljs.io/
babel-preset-flow,6.23.0,MIT,Unknown
babel-preset-jest,23.2.0,MIT,Unknown
babel-preset-react,6.24.1,MIT,https://babeljs.io/
babel-register,6.26.0,MIT,Unknown
babel-runtime,6.26.0,MIT,Unknown
babel-template,6.26.0,MIT,https://babeljs.io/
babel-traverse,6.26.0,MIT,https://babeljs.io/
babel-types,6.26.0,MIT,https://babeljs.io/
babylon,6.18.0,MIT,https://babeljs.io/
babylon,7.0.0-beta.44,MIT,https://babeljs.io/
backo2,1.0.2,MIT,Unknown
balanced-match,0.1.0,MIT,https://github.com/juliangruber/balanced-match
balanced-match,0.4.2,MIT,https://github.com/juliangruber/balanced-match
balanced-match,1.0.0,MIT,https://github.com/juliangruber/balanced-match
base,0.11.2,MIT,https://github.com/node-base/base
base64-arraybuffer,0.1.5,MIT,https://github.com/niklasvh/base64-arraybuffer
base64-js,1.3.0,MIT,https://github.com/beatgammit/base64-js
base64id,1.0.0,MIT,Unknown
batch,0.6.1,MIT,Unknown
bcrypt-pbkdf,1.0.2,New BSD,Unknown
better-assert,1.0.2,MIT,Unknown
big.js,3.2.0,MIT,Unknown
binary-extensions,1.11.0,MIT,sindresorhus.com
bindex,0.5.0,MIT,https://github.com/gsamokovarov/bindex
blessed,0.1.81,MIT,https://github.com/chjj/blessed
blob,0.0.4,MIT*,https://github.com/rase-/blob
block-stream,0.0.9,ISC,http://blog.izs.me/
bluebird,3.5.1,MIT,https://github.com/petkaantonov/bluebird
bn.js,4.11.8,MIT,https://github.com/indutny/bn.js
body-parser,1.18.2,MIT,Unknown
bonjour,3.5.0,MIT,https://github.com/watson/bonjour
boolbase,1.0.0,ISC,https://github.com/fb55/boolbase
bootsnap,1.3.0,MIT,https://github.com/Shopify/bootsnap
bootstrap,3.3.7,MIT,http://getbootstrap.com/
bootstrap,4.1.3,MIT,https://getbootstrap.com/
brace-expansion,1.1.11,MIT,https://github.com/juliangruber/brace-expansion
braces,1.8.5,MIT,https://github.com/jonschlinkert/braces
braces,2.3.2,MIT,https://github.com/micromatch/braces
brcast,3.0.1,MIT,https://github.com/vesparny/brcast
brorand,1.1.0,MIT,https://github.com/indutny/brorand
browser-process-hrtime,0.1.2,Simplified BSD,Unknown
browser-resolve,1.11.3,MIT,Unknown
browserify-aes,1.2.0,MIT,https://github.com/crypto-browserify/browserify-aes
browserify-cipher,1.0.1,MIT,Unknown
browserify-des,1.0.2,MIT,https://github.com/crypto-browserify/browserify-des#readme
browserify-rsa,4.0.1,MIT,Unknown
browserify-sign,4.0.4,ISC,Unknown
browserify-zlib,0.2.0,MIT,https://github.com/devongovett/browserify-zlib
browserslist,1.7.7,MIT,Unknown
browserslist,2.11.3,MIT,Unknown
browserslist,3.2.8,MIT,Unknown
bser,2.0.0,Apache 2.0,https://facebook.github.io/watchman/docs/bser.html
buffer,4.9.1,MIT,https://github.com/feross/buffer
buffer-from,1.1.1,MIT,Unknown
buffer-indexof,1.1.1,MIT,Unknown
buffer-xor,1.0.3,MIT,https://github.com/crypto-browserify/buffer-xor
builder,3.2.3,MIT,http://onestepback.org
builtin-modules,1.1.1,MIT,sindresorhus.com
builtin-status-codes,3.0.0,MIT,bendrucker.me
bundler,1.17.1,MIT,http://bundler.io
byebug,10.0.2,Simplified BSD,http://github.com/deivid-rodriguez/byebug
bytes,3.0.0,MIT,http://tjholowaychuk.com
cacache,10.0.4,ISC,Unknown
cache-base,1.0.1,MIT,https://github.com/jonschlinkert/cache-base
caller-callsite,2.0.0,MIT,sindresorhus.com
caller-path,0.1.0,MIT,http://sindresorhus.com
caller-path,2.0.0,MIT,sindresorhus.com
callsite,1.0.0,MIT*,Unknown
callsites,0.2.0,MIT,http://sindresorhus.com
callsites,2.0.0,MIT,sindresorhus.com
camelcase,1.2.1,MIT,http://sindresorhus.com
camelcase,2.1.1,MIT,http://sindresorhus.com
camelcase,3.0.0,MIT,http://sindresorhus.com
camelcase,4.1.0,MIT,sindresorhus.com
camelcase-keys,2.1.0,MIT,http://sindresorhus.com
caniuse-api,1.6.1,MIT,Unknown
caniuse-api,2.0.0,MIT,Unknown
caniuse-db,1.0.30000878,CC-BY-4.0,Unknown
caniuse-lite,1.0.30000878,CC-BY-4.0,http://beneb.info
capture-exit,1.2.0,ISC,https://github.com/stefanpenner/capture-exit#readme
capybara,3.3.1,MIT,https://github.com/teamcapybara/capybara
case-sensitive-paths-webpack-plugin,2.1.2,MIT,https://github.com/Urthen/case-sensitive-paths-webpack-plugin#readme
caseless,0.12.0,Apache 2.0,Unknown
center-align,0.1.3,MIT,https://github.com/jonschlinkert/center-align
chalk,1.1.3,MIT,Unknown
chalk,2.4.1,MIT,Unknown
change-emitter,0.1.6,MIT,https://github.com/acdlite/change-emitter#readme
chardet,0.4.2,MIT,https://github.com/runk/node-chardet
cheerio,1.0.0-rc.2,MIT,mat.io
childprocess,0.9.0,MIT,http://github.com/enkessler/childprocess
chokidar,2.0.4,MIT,https://github.com/paulmillr/chokidar
chownr,1.0.1,ISC,http://blog.izs.me/
chromedriver-helper,1.2.0,MIT,https://github.com/flavorjones/chromedriver-helper
ci-info,1.4.0,MIT,https://github.com/watson/ci-info
cipher-base,1.0.4,MIT,https://github.com/crypto-browserify/cipher-base#readme
circular-json,0.3.3,MIT,https://github.com/WebReflection/circular-json
clap,1.2.3,MIT,https://github.com/lahmatiy/clap
class-utils,0.3.6,MIT,https://github.com/jonschlinkert/class-utils
classnames,2.2.6,MIT,Unknown
cli-cursor,2.1.0,MIT,sindresorhus.com
cli-width,2.2.0,ISC,https://github.com/knownasilya/cli-width
cliui,2.1.0,ISC,Unknown
cliui,3.2.0,ISC,Unknown
cliui,4.1.0,ISC,Unknown
clone,1.0.4,MIT,http://paul.vorba.ch/
clone-deep,2.0.2,MIT,https://github.com/jonschlinkert/clone-deep
co,4.6.0,MIT,Unknown
coa,1.0.4,MIT,http://github.com/veged/coa
code-point-at,1.1.0,MIT,sindresorhus.com
coderay,1.1.2,MIT,http://coderay.rubychan.de
coercible,1.0.0,MIT,https://github.com/solnic/coercible
coffee-rails,4.2.2,MIT,https://github.com/rails/coffee-rails
coffee-script,2.4.1,MIT,http://github.com/josh/ruby-coffee-script
coffee-script-source,1.12.2,MIT,http://coffeescript.org
collection-visit,1.0.0,MIT,https://github.com/jonschlinkert/collection-visit
color,0.11.4,MIT,Unknown
color,1.0.3,MIT,Unknown
color,2.0.1,MIT,Unknown
color-convert,1.9.2,MIT,Unknown
color-name,1.1.1,MIT,https://github.com/dfcreative/color-name
color-name,1.1.3,MIT,https://github.com/dfcreative/color-name
color-string,0.3.0,MIT,Unknown
color-string,1.5.3,MIT,Unknown
colormin,1.1.2,MIT,https://github.com/ben-eb/colormin
colors,0.5.1,UNKNOWN,Unknown
colors,1.1.2,MIT,https://github.com/Marak/colors.js
combined-stream,1.0.6,MIT,https://github.com/felixge/node-combined-stream
commander,2.13.0,MIT,Unknown
commander,2.17.1,MIT,Unknown
commondir,1.0.1,MIT,http://substack.net
compare-versions,3.3.1,MIT,https://github.com/omichelsen/compare-versions#readme
component-bind,1.0.0,MIT*,Unknown
component-emitter,1.2.1,MIT,Unknown
component-inherit,0.0.3,MIT*,Unknown
compressible,2.0.14,MIT,Unknown
compression,1.7.3,MIT,Unknown
compression-webpack-plugin,1.1.11,MIT,https://webpack.js.org/plugins/compression-webpack-plugin/
compute-scroll-into-view,1.0.11,MIT,https://scroll-into-view-if-needed.netlify.com/
concat-map,0.0.1,MIT,http://substack.net
concat-stream,1.6.2,MIT,Unknown
concurrent-ruby,1.1.3,MIT,http://www.concurrent-ruby.com
connect-history-api-fallback,1.5.0,MIT,http://bripkens.de
console-browserify,1.1.0,MIT,https://github.com/Raynos/console-browserify
console-control-strings,1.1.0,ISC,http://re-becca.org/
constants-browserify,1.0.0,MIT,https://github.com/juliangruber/constants-browserify
contains-path,0.1.0,MIT,https://github.com/jonschlinkert/contains-path
content-disposition,0.5.2,MIT,Unknown
content-type,1.0.4,MIT,Unknown
convert-source-map,1.5.1,MIT,https://github.com/thlorenz/convert-source-map
convert-source-map,1.6.0,MIT,https://github.com/thlorenz/convert-source-map
cookie,0.3.1,MIT,Unknown
cookie-signature,1.0.6,MIT,Unknown
copy-concurrently,1.0.5,ISC,https://www.npmjs.com/package/copy-concurrently
copy-descriptor,0.1.1,MIT,https://github.com/jonschlinkert/copy-descriptor
copyfiles,1.2.0,ISC,Unknown
core-js,1.2.7,MIT,Unknown
core-js,2.5.7,MIT,Unknown
core-util-is,1.0.2,MIT,http://blog.izs.me/
cosmiconfig,4.0.0,MIT,https://github.com/davidtheclark/cosmiconfig#readme
cosmiconfig,5.0.7,MIT,https://github.com/davidtheclark/cosmiconfig#readme
crass,1.0.4,MIT,https://github.com/rgrove/crass/
create-ecdh,4.0.3,MIT,https://github.com/crypto-browserify/createECDH
create-emotion,9.2.12,MIT,https://emotion.sh/
create-hash,1.2.0,MIT,https://github.com/crypto-browserify/createHash
create-hmac,1.1.7,MIT,https://github.com/crypto-browserify/createHmac
create-react-class,15.6.3,MIT,https://facebook.github.io/react/
cross-spawn,3.0.1,MIT,http://indigounited.com
cross-spawn,5.1.0,MIT,http://indigounited.com
cross-spawn,6.0.5,MIT,https://github.com/moxystudio/node-cross-spawn
crypto-browserify,3.12.0,MIT,https://github.com/crypto-browserify/crypto-browserify
css-color-function,1.3.3,MIT,Unknown
css-color-names,0.0.4,MIT,http://www.daveeddy.com
css-loader,0.28.11,MIT,https://github.com/webpack-contrib/css-loader
css-select,1.2.0,Simplified BSD,Unknown
css-selector-tokenizer,0.7.0,MIT,https://github.com/css-modules/css-selector-tokenizer
css-unit-converter,1.1.1,MIT,https://github.com/andyjansson/css-unit-converter
css-vendor,0.3.8,MIT,Unknown
css-what,2.1.0,Simplified BSD,http://feedic.com
cssesc,0.1.0,MIT,http://mths.be/cssesc
cssnano,3.10.0,MIT,https://github.com/ben-eb/cssnano
csso,2.3.2,MIT,https://github.com/css/csso
cssom,0.3.4,MIT,Unknown
cssstyle,1.1.1,MIT,https://github.com/jsakas/CSSStyleDeclaration
csstype,2.5.6,MIT,Unknown
currently-unhandled,0.4.1,MIT,github.com/jamestalmage
cwds_store,0.1.5,AGPL-3.0,https://github.com/ca-cwds
cyclist,0.2.2,MIT*,Unknown
d,1.0.0,MIT,http://www.medikoo.com/
damerau-levenshtein,1.0.4,Simplified BSD,Unknown
dashdash,1.14.1,MIT,http://trentm.com
data-urls,1.0.1,MIT,https://domenic.me/
date-arithmetic,3.1.0,MIT,https://github.com/jquense/date-math
date-now,0.1.4,MIT,https://github.com/Colingo/date-now
debounce,1.2.0,MIT,Unknown
debug,2.6.9,MIT,Unknown
debug,3.1.0,MIT,Unknown
decamelize,1.2.0,MIT,sindresorhus.com
decode-uri-component,0.2.0,MIT,github.com/SamVerschueren
deep-equal,1.0.1,MIT,http://substack.net
